Country and Regions,Country and Regions Name,Country and Regions - RegionId,Indicators,Indicators Name,Scale,Units,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
DZA,Algeria,DZ,NE.EXPO.GNFS.CD,Exports of goods and services (current US$),millions,U.S. dollars,14541.4272498664,15334.7807248234,13985.266289069,13645.172068159,13582.7763140204,13650.1054138987,8232.95734871297,9450.8159200287,8436.08458147992,10259.2211929721,14467.5250153223,13345.6306264853,12194.9432362006,10807.2254062899,9771.29654719968,11325.4179893292,14148.2294621444,14665.3635408977,10829.2616489896,13258.9498286866,23050.8186309291,20085.475620022,20152.6319026027,25957.1199689902,34405.2859866872,49704.7955219516,57938.3790968672,63531.3540878942,82034.7522869866,48533.7987471451,61975.4192042005,77581.3177102983,77123.0405330171,69659.4223897672,64611.4883920358,38460.3374070553,33403.1173590408,37928.1389875406,45363.2246240921,47038.884044853,48284.3413771148
DZA,Algeria,DZ,NE.IMP.GNFS.CD,Imports of goods and services (current US$),millions,U.S. dollars,12856.9753351835,13688.971479282,13116.3998005309,12588.9575676579,12352.6850304111,11826.6438601376,10803.3906667347,8224.31717989006,13433.0498058251,15911.8019704123,15529.9966173635,10737.5831623622,11196.6880532696,11528.009800646,12108.4187857438,12854.9158985958,11203.8780687831,10636.4175131786,11591.9576431332,11085.4253694015,11364.6329115942,12053.066114097,14547.4718850831,16203.1294011241,22031.5245405843,-25348.1362351532,26018.6144442055,33568.7607876188,49096.0441479775,49331.0315003172,50654.743422764,57376.1234731015,59612.0084485522,63767.4628693536,68262.3830314798,60621.1739959343,56097.0848770074,56133.4654775686,60510.5732386832,61505.257084772,62752.8970705223
DZA,Algeria,DZ,NE.CON.TETC.ZS,Final consumption expenditure  (% of GDP),units,Percentage of GDP,56.9421550869,59.28456908,61.3791625495,61.8940196774,64.3515070609,60.4060650761,72.3342760633,69.3443646186,91.3773613127,84.093772381,72.815318342,63.4733036576,68.2130876928,73.1542010971,74.0496643819,71.3773638608,68.5059617032,67.9874432789,72.7894990081,68.0944440165,55.1516768108,58.6183329589,59.4718718487,55.2895220935,52.3249661397,45.2156758346,42.9393246934,43.3322285067,43.3893219601,53.704552733,51.5472392035,51.8433035369,52.4656055476,53.8004287503,56.1531084091,62.5732539605,63.79449252,62.4615430219,60.7562053576,60.6468994179,60.4370971615
DZA,Algeria,DZ,NE.CON.GOVT.ZS,General government final consumption expenditure (% of GDP),units,Percentage of GDP,13.7544618382,13.761873809,14.9096817735,15.2425144608,15.3349764034,14.9482757019,18.2788112277,18.8919978823,21.3162552926,17.7025911894,16.2457942355,14.8691028681,17.1922409479,18.5924811056,17.7449754073,16.6435792889,15.7743478783,16.5418607364,17.7919680146,16.7168584958,13.5818036325,14.8092912535,15.4865223047,14.8039132956,13.7710972447,11.4517106979,11.2320945486,11.6434474869,13.2065875201,16.1452818566,17.2267450377,20.6674652152,20.3180342886,19.1427481116,19.7907487283,21.5599562427,20.872624637,19.2375529008,18.625824125,17.8596017134,17.7598002047
DZA,Algeria,DZ,NE.CON.PETC.ZS,Household final consumption expenditure  (% of GDP),units,Percentage of GDP,43.1876932487,45.522695271,46.469480776,46.6515052166,49.0165306575,45.4577893742,54.0554648356,50.4523667363,70.0611060202,66.3911811916,56.5695241065,48.6042007895,51.0208467448,54.5617199915,56.3046889746,54.7337845719,52.7316138249,51.4455825425,54.9975309935,51.3775855206,41.5698731783,43.8090417054,43.985349544,40.4856087979,38.553868895,33.7639651367,31.7072301448,31.6887810198,30.18273444,37.5592708764,34.3204941657,31.1758383217,32.147571259,34.6576806386,36.3623596808,41.0132977179,42.9218678831,43.2239901212,42.1303812325,42.7872977045,42.6772969568
DZA,Algeria,DZ,NE.GDI.TOTL.ZS,Gross capital formation (% of GDP),units,Percentage of GDP,39.0843085439,36.9900619691,37.6112040902,38.5836444653,36.045336117,31.4826400761,34.3286921608,30.5811404114,32.0831263204,32.2001239853,28.8991648971,30.9390376323,29.7581672384,28.2584229199,31.4607821512,32.2547279776,25.2218359514,23.6492138165,28.7900610308,27.344795023,23.5214238949,26.6761664895,30.6529406873,30.3366854096,33.2716938173,31.6504904885,30.1696247417,34.4695228218,37.3484015502,46.8764739312,41.430331927,38.0550642026,39.1582780822,43.3905991494,45.5544333387,50.779236837,50.3775368791,48.4038827889,47.596137198,47.0716726928,47.0322604476
DZA,Algeria,DZ,NE.GDI.PVTE.ZS,"Gross capital formation, Private sector (% GDP)",units,Percentage of GDP,,,,,,,,,,,15.1767710757,24.9151362095,23.0017696118,19.7185213011,21.6104577511,22.9537436255,19.7020292157,15.1869219231,19.6598136845,20.5128804509,15.7150027886,18.2023165895,20.6178147536,22.2025650484,25.4391932299,10.7611667661,10.2576724122,10.6166130291,11.0551268588,14.6723363405,14.169173519,12.8245566363,14.4102463342,16.4450370776,16.2173782686,18.1365505807,18.0424847336,17.7537927681,15.5925412662,15.3187429348,15.7096184616
DZA,Algeria,DZ,NE.GDI.PUB.ZS,"Gross capital formation, Public sector (% GDP)",units,Percentage of GDP,,,,,,,,,,,13.7223938214,6.0239014228,6.7563976266,8.5399016187,9.8503244001,9.3009843521,5.5198067357,8.4622918934,9.1302473462,6.8319145721,7.8064211062,8.4738499,10.0351259337,8.1341203612,7.8325005873,20.8893237224,19.9119523295,23.8529097927,26.2932746913,32.2041375907,27.2611584079,25.2305075663,24.7480317479,26.9455620718,29.3370550701,32.6426862564,32.3350521455,30.6500900209,32.0035959318,31.752929758,31.322641986
DZA,Algeria,DZ,NE.EXPO.GNFS.ZS,Exports of goods and services (% of GDP),units,Percentage of GDP,34.3396930559,34.5597758377,31.2310662928,28.7091593384,26.3677763246,22.3288749902,13.3792494772,14.9302938817,16.3286875748,19.5197028566,23.3753564011,28.5958338819,24.7780794091,21.2061517722,23.0315910749,26.9229970037,30.1401328725,30.4400450994,22.4731351352,27.1449061705,42.0669754359,36.7719017053,35.5057931422,38.251242264,40.0485362114,47.2093672211,48.8106318732,47.0681820612,47.9732257151,35.3716415661,38.4445223436,38.7869541167,36.8905475824,33.2098978857,30.2191174258,23.1733716026,20.8597267472,22.6365278611,25.0135651543,25.0977226639,24.9266768783
DZA,Algeria,DZ,NE.IMP.GNFS.ZS,Imports of goods and services (% of GDP),units,Percentage of GDP,30.3618468154,30.850639097,29.2907652401,26.4869059114,23.9798424387,19.3460522318,17.5564202275,12.9926848128,26.0006963346,30.2745832782,25.0920047108,23.0075410446,22.7497922975,22.6204891888,28.5403424909,30.5589482479,23.867747875,22.0773953468,24.0558995654,22.6950727924,20.7400761415,22.0664011537,25.6303757241,23.877449767,25.6451961683,-24.0755335442,21.9195813084,24.8699333896,28.7109492254,35.9526682304,31.422093474,28.6853218562,28.5144312122,30.4009257854,31.9266591736,36.5258624002,35.0317561463,33.501953672,33.3659077098,32.8162947746,32.3960344874
DZA,Algeria,DZ,GC.BAL.CASH.GD.CD,"Central government, Fiscal Balance (Current US $)",millions,U.S. dollars,4207.22084931712,6164.54567289806,608.283010958969,-729.304960619324,407.964091378452,2006.91834234214,-2666.388452328,-2184.81789223152,-3893.16394617,-1006.10122539098,2250.6258715919,1952.57944026417,525.546267479759,-3267.68044549154,-622.008614050601,181.209743406834,1820.25242470182,1457.81274368794,-1840.92340693577,-970.526315789474,5298.97767466828,1867.20221868605,272.332863548687,3250.85599844952,4555.39180420616,14277.9564727015,16064.9411212787,6592.35356258406,14042.4385440086,-9815.90306606452,-996.155413687922,-873.345881301262,-9371.13485827434,357.825028600798,-15582.754071004,-25323.6438849648,-21674.4566124487,-10867.1372214957,-9526.54336294887,-9301.15969164895,-9007.33239104967
DZA,Algeria,DZ,GC.REV.TOTL.GD.CD,"Central government, total revenue and grants  (Current US $)",millions,U.S. dollars,16047.8950219287,18932.9531018421,16732.5265864887,17187.5141674161,19339.4483876517,22765.1986959034,19166.8052070133,18816.8022952266,13886.033309647,14497.261444646,17884.4377296142,14745.8452877172,14508.1438128177,13711.715570786,12383.7245785676,12606.1515221451,15071.6360116166,16058.1558563086,13185.634757146,14628.2706766917,20968.6977642779,19111.3638853748,20120.0021585831,25510.6919051618,31147.3692298021,42922.9848086108,50819.7224867289,57788.4525419968,67424.854617982,50600.5604695739,59054.1363191408,79383.9872421122,81763.3450970496,75288.1499438063,71220.7748046896,50706.7168574091,45791.0597047109,55716.6163966885,62940.898446251,64640.6620015943,66296.622153694
DZA,Algeria,DZ,GC.XPN.TOTL.GD.CD,"Central government, total expenditure and net lending  (Current US $)",millions,U.S. dollars,11840.6741726116,12768.407428944,16124.2435755297,17916.8191280354,18931.4842962732,20758.2803535613,21833.1936593413,21001.6201874581,17779.197255817,15503.3626700369,15633.8118580223,12793.265847453,13982.597545338,16979.3960162776,13005.7331926182,12424.9417787382,13251.3835869148,14600.3431126207,15026.5581640818,15598.7969924812,15669.7200896096,17244.1616666888,19847.6692950344,22259.8359067123,26591.977425596,28645.0283359093,34754.7813654502,46628.4902817625,66327.2574121903,60416.4635356384,60050.2917328287,80257.3331234135,91134.4799553239,74930.3249152056,86803.5288756936,76030.3607423739,67465.5163171595,66583.7536181842,72467.4418091998,73941.8216932432,75303.9545447436
DZA,Algeria,DZ,GC.BAL.CASH.GD.ZS,"Central government, Fiscal Balance (% of GDP)",units,Percentage of GDP,9.9353846154,13.8929483518,1.3583815029,-1.5344425278,0.791966654,3.2829218107,-4.3331059297,-3.4515510074,-7.5355168788,-1.9142580703,3.6363636364,4.1838140795,1.0678218747,-6.4119072995,-1.4661153691,0.4307752158,3.8777042802,3.0258974175,-3.8203269843,-1.9869481459,9.6704575766,3.4184192472,0.4798080154,4.7905653829,5.3025797751,13.5611319433,13.5340328701,4.8840466593,8.2118986781,-7.1538724325,-0.6179340059,-0.4366312358,-4.4825293972,0.170591892,-7.2881322936,-15.2581659352,-13.5353607111,-6.4857981713,-5.2529954623,-4.9626586841,-4.6500140137
DZA,Algeria,DZ,GC.REV.TOTL.GD.ZS,"Central government, total revenue and grants  (% of GDP)",units,Percentage of GDP,37.8972283654,42.6689254243,37.3660848687,36.162173727,37.543005755,37.2393663194,31.1476736345,29.726574992,26.8774805867,27.5832083461,28.8961038961,31.5960896939,29.4781150277,26.9053999079,29.1892564206,29.9675808857,32.1072762646,33.3309833825,27.3631353037,29.9483020968,38.2671742768,34.9885264129,35.4483046242,37.5933715894,36.2562469317,40.7680371839,42.81346501,42.81346501,39.429481765,36.8779064112,36.6323954296,39.6882027998,39.1101615283,35.8933750218,33.310313855,30.552139469,28.5958038778,33.2531669905,34.7060041961,34.4891984721,34.2254741685
DZA,Algeria,DZ,GC.XPN.TOTL.GD.ZS,"Central government, total expenditure and net lending  (% of GDP)",units,Percentage of GDP,27.96184375,28.7759770725,36.0077033658,37.6966162548,36.751039101,33.9564445087,35.4807795642,33.1781259994,34.4129974655,29.4974664163,25.2597402597,27.4122756144,28.4102931529,33.3173072074,30.6553717897,29.5368056699,28.2295719844,30.305085965,31.183462288,31.9352502426,28.5967167002,31.5701071657,34.9684966088,32.8028062066,30.9536671567,27.2069052406,29.2794321399,34.5454351057,38.7876162503,44.0317788436,37.2503294355,40.1248340356,43.5926909255,35.7227831298,40.5984461486,45.8103054042,42.1311645889,39.7389651618,39.9589996584,39.4518571561,38.8754881822
DZA,Algeria,DZ,BG.CAB.CD,"Current account balance (Net, BoP, cur. US$)",millions,U.S. dollars,241.837681802242,-209.461019506836,-435.73691057243,-85.1968239454269,74.2484171482101,1014.56113053284,-2229.54540061033,141.247941979984,-1899.99799536738,-1032.99789237059,1350.0,2390.0,1290.0,810.0,-1838.63877540532,-2236.915,1247.60017333475,3450.0,-910.0,20.0,9142.31626,7059.8,4359.16,8808.0,11177.4926126576,21635.2674157929,29343.1608811842,30923.309927207,35052.4825743077,416.670012354194,12185.2257560172,17689.57283972,12188.00369205,1189.87138458127,-9508.24617906109,-27225.8197072708,-26223.0350258216,-21951.9067058494,-16412.5091636656,-14859.8848150747,-14409.1209529317
DZA,Algeria,DZ,BG.WEO.ADB.CAB.GDP.ZS,Current account balance (As % of GDP),units,Percentage of GDP,0.5711015583,-0.4720593017,-0.9730617965,-0.1792523525,0.1441358976,1.659621517,-3.6231991582,0.2231419278,-3.677591584,-1.9654330023,2.1812114448,5.1210800666,2.6210636506,1.5893980453,-4.3337929829,-5.3176364792,2.6577767272,7.1609650385,-1.8884531223,0.0409457861,16.6844223493,12.9248754956,7.6801597916,12.9797505372,13.0108558849,20.5490692323,24.7203709544,22.9100103797,20.4983938091,0.3036708996,7.5587255375,8.8439416902,5.8299326249,0.5672672242,-4.4470544627,-16.404277232,-16.3758771148,-13.1014850983,-9.0499599778,-7.9285313731,-7.4386745651
DZA,Algeria,DZ,FP.CPI.TOTL.ZG,"Inflation, consumer prices (annual %)",units,percentage,,14.6000562069,6.5999736877,7.8000025671,6.3000419478,10.3999586428,14.0000499483,5.9000075306,5.8999594025,9.2000283245,20.2063426668,25.4999920943,31.0000226037,21.5999855173,31.6999901369,28.4000110216,20.2999980879,6.1000038421,6.2307010596,2.0882560066,-0.6225542512,3.4902452121,1.4,2.583,6.4265995073,1.38,2.36,3.7,4.86,5.74,3.91,4.52,8.89,3.25,2.92,4.78,6.4,5.6,5.4138526876,5.6373334199,4.4181256841
AGO,Angola,AO,NY.GDP.MKTP.KD.ZG,Real GDP growth (annual %),units,percentage,,-4.4000012194,0.0,4.2000014283,6.0000021644,3.4999994895,2.9000017427,4.0827486365,6.1288904762,0.0416214618,-3.4500986836,0.9913592959,-5.8382807337,-23.9834174359,1.3393634619,15.0,20.0,5.5,0.0,3.2397996713,3.0120761749,3.1419662231,14.5324528645,3.3082779221,11.1828077629,20.9070270374,11.547683183,14.0101269383,11.1660168877,3.3784038648,4.859219584,3.471981378,8.5421473343,4.9545904758,4.8226255514,0.9435756131,-2.580097243,-0.15,-0.7094168088,1.2054864553,3.1994171485
AGO,Angola,AO,NY.GDP.PCAP.KD.ZG,Real per Capita GDP Growth Rate (annual %),units,percentage,,-7.6534390519,-3.5237268105,0.5341021771,2.4338534815,0.2637861414,-0.0396720304,1.3250484764,3.4033042219,-2.608189201,-6.1804953747,-2.0818370366,-8.8508165015,-26.4526386146,-1.8642921231,11.5530369555,16.6221331776,2.6564326643,-2.6788472734,0.3564995474,-0.065318095,-0.1517595094,10.6910581683,-0.2712021758,7.2793460987,16.6599020471,7.6398091084,10.0177691983,7.2744231071,-0.2439335645,1.1816785311,-0.1571609362,4.7465467992,1.3124740183,1.2320610935,-2.4581519456,-5.8061579069,-3.4043232076,-3.9036136644,-2.0208597506,-0.0695095
AGO,Angola,AO,NY.GDP.MKTP.KD,"Gross domestic product, (constant prices US$)",millions,U.S. dollars,7286.77208040772,6966.15402001488,6966.15402001488,7258.73258835309,7694.25670076228,7963.55564600978,8194.49889852495,8529.05969057248,9051.79641765739,9055.56390764558,8743.13801647534,8829.81392795504,8314.30460257768,6320.25022284923,6404.90134503473,7365.63654678994,8838.76385614792,9324.89586823606,9324.89586823606,9627.00381392424,9916.97650216016,10228.5645542108,11715.0258767664,12102.5914914158,13456.0010322299,16269.2508061911,18147.9723455377,20690.5263078737,23000.833969567,23777.8950333213,24933.3151654357,25798.9952248994,28002.7834077788,29390.2066474686,30807.5862628613,31098.2791338102,30295.9132912716,30250.4694213346,29328.0618355971,29692.7609428209,30631.9452366115
AGO,Angola,AO,NY.GDP.MKTP.CD,"Gross domestic product, current prices (current US$)",millions,U.S. dollars,5003.04970714007,4682.4595907638,4682.4595907638,4879.74571022406,5172.59201388621,6372.70770840743,5966.48333456549,6820.11533058975,7398.34821973198,8606.35495481045,9473.36507410232,9182.6484599599,7080.14084109441,5138.50630494879,3741.72035299368,4669.75215443405,6023.68071103701,7074.39319555864,5996.90242924817,5671.12193252361,9916.97650216016,8936.09348755054,11386.25304924,13956.2675166449,17965.3187107201,28233.4715126279,52381.006892038,65266.4157069741,84178.0869986707,70385.2275157248,83799.4789298466,111789.745968164,128052.913437629,136709.891897327,145712.175327652,116193.649918191,101123.457610525,126526.174018118,116212.176186054,115895.329196377,121488.064853353
AGO,Angola,AO,NE.CON.TETC.CD,Final consumption expenditure  (current US$),millions,U.S. dollars,3743.56574637342,3643.29166388128,3877.26452302962,4244.93615883415,4712.88187713082,5314.5263720837,5481.64984290394,5548.49923123203,6283.8425028411,7186.30924527041,7520.55618691089,9852.91479879294,10547.9830361013,7540.36622357834,7493.57039989596,3703.19644124204,3391.28678529396,5754.11340695458,5274.93973471011,6383.62706603701,7304.92624397578,7698.97832962558,8502.59629042962,11280.5742148623,12991.3773512264,16610.1236910966,23251.2277881398,30360.580215722,49403.4660179181,43746.3083293495,44279.7244739184,58374.6571689669,68191.0664829105,80897.7950705708,90986.1839369985,80379.0851131001,70692.1076939483,84751.1046285778,69895.6916115843,70225.778434516,75916.5263278884
AGO,Angola,AO,NE.CON.GOVT.CD,General government final consumption expenditure (current US$),millions,U.S. dollars,2607.12614479578,2517.18333140888,2673.97553312387,2931.02734776644,3242.1953339127,3208.77063974865,3141.92125142055,3108.4965572565,3643.29166388128,4478.90901798249,2941.37308643626,3245.69725873272,2684.51135955558,3620.98513139252,2521.10026631619,1092.16390941743,2159.56575654235,1639.38850758745,3435.95630367192,1541.72031354793,3384.6800209953,3088.90721509055,3989.04921656884,4697.48288470437,4301.9669020604,5642.29543415228,8036.14867092789,10140.4003918578,14421.5864000482,13990.1403591507,14281.3952530352,20385.8221615525,22848.0131450657,29559.3427427908,26192.7252002649,19093.9071791096,14036.677343078,13411.7741591479,10306.7881340915,9178.86275236988,9184.96745525241
AGO,Angola,AO,NE.CON.PETC.CD,Household final consumption expenditure (current US$),millions,U.S. dollars,1136.43960157765,1126.1083324724,1203.28898990574,1313.90881106771,1470.68654321813,2105.75573233505,2339.72859148339,2440.00267397553,2640.55083895982,2707.40022728792,4579.18310047463,6607.21754006022,7863.47167654572,3919.38109218583,4972.47013357977,2611.03253182461,1231.72102875161,4114.72489936713,1838.98343103818,4841.90675248908,3920.24622298048,4610.07111453503,4513.54707386078,6583.0913301579,8689.41044916598,10967.8282569443,15215.0791172119,20220.1798238642,34981.8796178699,29756.1679701988,29998.3292208832,37988.8350074144,45343.0533378448,51338.45232778,64793.4587367336,61285.1779339905,56655.4303508703,71339.3304694299,59588.9034774929,61046.9156821462,66731.558872636
AGO,Angola,AO,NE.GDI.TOTL.CD,Gross capital formation (current US$),millions,U.S. dollars,467.945718296678,434.521024132629,434.521024132629,467.945718296678,534.795106624774,1236.71368406979,1169.86429574169,1370.41246072598,1169.86429574169,1136.43960157765,1203.28898990574,1827.22515939693,3601.55438971907,2677.64842096558,2678.85407040242,1394.28338720762,2264.23857094877,1947.87657424853,2290.080939603,2231.47431311339,1160.99407637105,1197.65939851694,1431.17853064838,1767.39319653264,1810.81005965327,2481.83166513104,12205.1784227822,16793.4268862711,13652.7601613637,30106.1439453751,23629.1984101322,29539.7178635207,34148.6116689442,35740.0251312515,40071.5212191354,39741.1220643414,27520.1831001215,34433.3921855577,34158.485106716,33366.3326311505,34504.6153757206
AGO,Angola,AO,NE.GDI.PVTE.CD,"Gross capital formation, Private sector  (current US$)",millions,U.S. dollars,903.12943350231,905.027649036066,905.027649036068,902.945212390546,906.081335393564,902.794281918533,816.694387830509,964.503199378169,615.338355882592,243.765669985471,171.547714467556,1502.78683734344,3233.67154965655,2000.99993609431,2310.87961018231,1048.27596237406,1416.80230957249,1589.64229479295,1909.40138595998,1202.48257203077,600.090946223,630.09549353415,661.600268210856,768.054318420304,838.354661008754,930.573673719716,1891.45680906445,2545.00981318484,1756.71726266393,5570.31531554808,4883.68986788413,6301.13938701633,5994.64748790923,6565.44348649194,7361.13942326104,7300.44509048377,6159.06761916229,6809.47187591828,6501.89825671156,6351.11596107291,6361.74955413065
